Designator,Footprint,Quantity,Value,LCSC Part #
"BOOT1, RST1",SW_SPST_TL3342,2,SW_SPST,C318884
"C1, C3, C4, C5, C6, C7, C8",0402,7,100nF,C1525
"C10, C9",0402,2,1uF,C52923
"C11, C12, C13, C14, C15",C_0402,5,100nF,C1525
C2,0402,1,10uF,C76991
"D1, D10, D11, D12, D13, D14, D15, D16, D17, D18, D19, D2, D20, D21, D22, D23, D24, D25, D26, D27, D28, D29, D3, D30, D31, D32, D33, D34, D35, D36, D37, D38, D39, D4, D40, D41, D42, D43, D44, D5, D6, D7, D8, D9",D_SOD-323,44,D_Small,C908234
"D45, D46, D47, D48, D49",LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,5,WS2812B,C2761795
F1,1206,1,500mA,C70068
J1,USB_C_Receptacle_HRO_TYPE-C-31-M-12,1,USB_C_Receptacle_USB2.0,C165948
"R1, R2, R3, R4",0402,4,5.1k,C144745
R5,R_0402,1,470,C25167
U1,LQFP-48_7x7mm_P0.5mm,1,STM32F072CBT6,C81720
U2,SOT-143,1,PRTR5V0U2X,C2827688
U3,SOT-23,1,XC6206PxxxMR-Regulator_Linear,C5446
